Category,Year,Avg Price USD,Units Sold,Dollar Sales UD,YOY % Change
Cleanser,2018,60.29,8838513,"$533,000,000.00",11.23
Cleanser,2018,116.26,5722566,"$665,000,000.00",-1.81
Cleanser,2007,42.8,6383474,"$273,000,000.00",19.83
Cleanser,2023,104.04,413815,"$43,051,282.00",5.79
Cleanser,2013,18.3,8243498,"$151,000,000.00",-3.07
Cleanser,2005,95.98,7589995,"$729,000,000.00",-4.75
Cleanser,2024,78.36,9890816,"$775,000,000.00",14.72
Cleanser,2020,58.84,517178,"$30,428,614.00",8.43
Cleanser,2017,103.68,5233591,"$543,000,000.00",-7.69
Cleanser,2014,43.79,6293929,"$276,000,000.00",-3.19
Cleanser,2020,30.74,1583551,"$48,672,966.00",0.54
Cleanser,2006,108.73,8413879,"$915,000,000.00",-1.22
Cleanser,2012,11.58,6617420,"$76,626,247.00",17.13
Cleanser,2009,100.04,1444011,"$144,000,000.00",10.95
Cleanser,2023,27.62,2028634,"$56,024,896.00",4.32
Cleanser,2000,99.42,1086751,"$108,000,000.00",7.08
Cleanser,2012,111.18,9990956,"$1,110,000,000.00",4.65
Cleanser,2006,105.2,9015073,"$948,000,000.00",18.16
Cleanser,2017,53.62,1664121,"$89,226,383.00",-5.13
Cleanser,2006,97.55,9187808,"$896,000,000.00",13.36
Cleanser,2015,43.86,7028527,"$308,000,000.00",14.56
Cleanser,2020,70.92,557495,"$39,538,896.00",-0.5
Cleanser,2018,88.92,7945893,"$707,000,000.00",-1.12
Cleanser,2001,82.47,2506607,"$207,000,000.00",0.96
Cleanser,2023,90.73,8592005,"$780,000,000.00",-3.14
Cleanser,2008,91.72,6387428,"$586,000,000.00",-7.94
Cleanser,2001,41.82,6936057,"$290,000,000.00",16.1
Cleanser,2023,74.11,6439654,"$477,000,000.00",15.59
Cleanser,2010,84.56,5334778,"$451,000,000.00",-3.29
Cleanser,2013,38.2,3234022,"$124,000,000.00",-6.17
Cleanser,2002,47.17,7808850,"$368,000,000.00",4.86
Cleanser,2012,87.19,8279895,"$722,000,000.00",13.6
Cleanser,2006,33.33,2054441,"$68,469,508.00",16.44
Cleanser,2015,51.29,9215444,"$473,000,000.00",-0.95
Cleanser,2011,73.19,5730423,"$419,000,000.00",17.55
Cleanser,2008,50.44,746932,"$37,674,577.00",14.02
Cleanser,2000,40.36,9016717,"$364,000,000.00",16.1
Cleanser,2020,104.16,4136313,"$431,000,000.00",5.67
Cleanser,2001,68.13,4063611,"$277,000,000.00",1.57
Cleanser,2017,66.99,8046932,"$539,000,000.00",17.75
Cleanser,2009,81.63,9984776,"$815,000,000.00",1.37
Cleanser,2009,101.81,6751782,"$687,000,000.00",10.95
Cleanser,2017,18.96,3931861,"$74,542,504.00",12.95
Cleanser,2022,18.8,642719,"$12,085,467.00",10.43
Cleanser,2023,97.25,1044759,"$102,000,000.00",6.12
Cleanser,2023,96.83,1102567,"$107,000,000.00",4.82
Cleanser,2002,65.99,8276127,"$546,000,000.00",-5.33
Cleanser,2015,23.07,8263384,"$191,000,000.00",11.13
Cleanser,2000,104.91,5276362,"$554,000,000.00",5.2
Cleanser,2021,109.39,6828894,"$747,000,000.00",5.48
Cleanser,2020,59.26,3244579,"$192,000,000.00",-4.52
Cleanser,2001,48.52,1966204,"$95,409,057.00",-5.77
Cleanser,2019,83.39,4671798,"$390,000,000.00",10.11
Cleanser,2007,85.63,8593220,"$736,000,000.00",19.06
Cleanser,2006,15.22,7008255,"$107,000,000.00",13.46
Cleanser,2019,106.17,4447853,"$472,000,000.00",6.29
Cleanser,2005,72.62,9696302,"$704,000,000.00",19.88
Cleanser,2020,76.03,6894924,"$524,000,000.00",8.05
Cleanser,2020,17.43,1718246,"$29,956,469.00",1.86
Cleanser,2019,88.86,3630575,"$323,000,000.00",5.35
Cleanser,2022,97.64,5965626,"$582,000,000.00",14.87
Cleanser,2005,27.46,6597082,"$181,000,000.00",11.18
Cleanser,2006,97.61,8071945,"$788,000,000.00",15.86
Cleanser,2011,23.23,1018461,"$23,663,623.00",-4.01
Cleanser,2006,32.84,1911756,"$62,788,493.00",0.34
Cleanser,2018,33.97,9832356,"$334,000,000.00",0.83
Cleanser,2020,96.07,2961314,"$285,000,000.00",0.65
Cleanser,2007,16.3,6444654,"$105,000,000.00",5.14
Cleanser,2008,15.75,5832806,"$91,839,623.00",-3.16
Cleanser,2014,46.95,1523543,"$71,525,914.00",11.88
Cleanser,2002,75.66,4908977,"$371,000,000.00",-6.75
Cleanser,2014,82.06,3561517,"$292,000,000.00",17.13
Cleanser,2013,19.09,493153,"$9,413,845.00",9.18
Cleanser,2010,21.14,472834,"$9,995,545.00",-4.95
Cleanser,2001,90.49,3131386,"$283,000,000.00",11.59
Cleanser,2014,73.57,7133246,"$525,000,000.00",-0.77
Cleanser,2012,55.23,6552535,"$362,000,000.00",12.7
Cleanser,2011,76.28,4180358,"$319,000,000.00",6
Cleanser,2005,32.85,3692679,"$121,000,000.00",-3.17
Cleanser,2019,94.98,8246430,"$783,000,000.00",11.03
Cleanser,2011,87.69,9181226,"$805,000,000.00",-6.09
Cleanser,2005,20.93,2615644,"$54,746,965.00",7.14
Cleanser,2010,44.12,1081428,"$47,708,620.00",7.99
Cleanser,2014,108.71,6108704,"$664,000,000.00",-2.65
Cleanser,2002,10.47,655552,"$6,861,861.00",3.5
Cleanser,2013,37.97,8464682,"$321,000,000.00",3.3
Cleanser,2002,86.96,739041,"$64,264,625.00",-5.06
Cleanser,2000,30.51,8080172,"$247,000,000.00",15.36
Cleanser,2013,36.03,5869077,"$211,000,000.00",-5.67
Cleanser,2010,16.63,7686878,"$128,000,000.00",-2.04
Cleanser,2006,81.24,2999058,"$244,000,000.00",-0.24
Cleanser,2022,12.32,6514365,"$80,270,123.00",14.02
Cleanser,2000,118.5,8766691,"$1,040,000,000.00",13.97
Cleanser,2002,89.92,5380277,"$484,000,000.00",-5.07
Cleanser,2017,81.47,2034688,"$166,000,000.00",11.3
Cleanser,2024,60.02,9608891,"$577,000,000.00",-4.63
Cleanser,2007,44.86,5318490,"$239,000,000.00",9.33
Cleanser,2000,76.6,5279762,"$404,000,000.00",17.19
Cleanser,2024,91.11,4107838,"$374,000,000.00",1.67
Cleanser,2003,55.76,8682616,"$484,000,000.00",-4.08
Cleanser,2012,17.68,5590786,"$98,844,976.00",4.35
Cleanser,2018,101.43,7659529,"$777,000,000.00",18.84
Cleanser,2019,45.48,1853249,"$84,294,865.00",4.41
Cleanser,2021,33.3,930789,"$30,997,145.00",-2.06
Cleanser,2006,50.19,2668867,"$134,000,000.00",9.2
Cleanser,2018,78.43,6128382,"$481,000,000.00",-4.86
Cleanser,2013,67.73,9091447,"$616,000,000.00",-0.91
Cleanser,2005,36.9,9921226,"$366,000,000.00",-7.2
Cleanser,2014,24.97,7156919,"$179,000,000.00",8.76
Cleanser,2021,62.01,2286887,"$142,000,000.00",-0.73
Cleanser,2001,42.07,7067467,"$297,000,000.00",14.36
Cleanser,2001,24.66,8208181,"$202,000,000.00",-1.18
Cleanser,2020,109.16,3791369,"$414,000,000.00",2.62
Cleanser,2018,78.95,2260819,"$178,000,000.00",-2.17
Cleanser,2017,35.78,1674860,"$59,927,288.00",18.55
Cleanser,2017,35.41,6051033,"$214,000,000.00",5.61
Cleanser,2014,94.52,8166203,"$772,000,000.00",6.56
Cleanser,2024,58.34,8043695,"$469,000,000.00",-4.88
Cleanser,2003,64.6,3165414,"$204,000,000.00",-3.06
Cleanser,2023,74.64,6949758,"$519,000,000.00",15.22
Cleanser,2002,63.37,2022649,"$128,000,000.00",17.11
Cleanser,2010,61.12,1490291,"$91,089,337.00",12.4
Cleanser,2003,78.35,3437329,"$269,000,000.00",17.25
Cleanser,2011,87.2,1627794,"$142,000,000.00",17.41
Cleanser,2018,71.81,3188933,"$229,000,000.00",14.49
Cleanser,2001,84.78,7623601,"$646,000,000.00",-3.29
Cleanser,2001,67.95,4497139,"$306,000,000.00",-7.62
Cleanser,2023,57.2,4717061,"$270,000,000.00",9.43
Cleanser,2021,24.8,4185881,"$104,000,000.00",11.05
Cleanser,2016,33.92,1796770,"$60,951,465.00",-0.62
Cleanser,2002,45.14,4694526,"$212,000,000.00",-3.35
Cleanser,2017,38.57,5701100,"$220,000,000.00",16.47
Cleanser,2015,17.41,2233990,"$38,886,862.00",2.23
Cleanser,2008,67.58,567652,"$38,363,790.00",4.37
Cleanser,2012,29.86,5783840,"$173,000,000.00",18.53
Cleanser,2024,93.99,5089391,"$478,000,000.00",-0.05
Cleanser,2009,99.9,8971475,"$896,000,000.00",17.03
Cleanser,2006,106.84,5778117,"$617,000,000.00",-2.05
Cleanser,2001,26.85,4490396,"$121,000,000.00",18.04
Cleanser,2021,114.32,4336515,"$496,000,000.00",9.08
Cleanser,2007,23.88,5641817,"$135,000,000.00",1.3
Cleanser,2008,52.25,5103831,"$267,000,000.00",8.09
Cleanser,2000,69.76,5817730,"$406,000,000.00",13.76
Cleanser,2024,24.06,4185593,"$101,000,000.00",4.68
Cleanser,2016,115.98,3485867,"$404,000,000.00",13.48
Cleanser,2016,112.1,5252292,"$589,000,000.00",-5.31
Cleanser,2002,14.65,9726082,"$143,000,000.00",15.9
Cleanser,2010,96.12,6047018,"$581,000,000.00",0.76
Cleanser,2020,39.34,5580829,"$220,000,000.00",14.36
Cleanser,2002,74.29,836671,"$62,153,546.00",11.23
Cleanser,2013,50.03,9564385,"$478,000,000.00",-7.29
Cleanser,2002,96.72,2035897,"$197,000,000.00",-0.04
Cleanser,2018,51.44,5066099,"$261,000,000.00",8.89
Cleanser,2003,118.32,2995563,"$354,000,000.00",11.83
Cleanser,2017,50.46,2417126,"$122,000,000.00",-3.66
Cleanser,2020,67.39,6199009,"$418,000,000.00",6.56
Cleanser,2016,14.2,1149218,"$16,321,723.00",2.92
Cleanser,2012,91.84,8049124,"$739,000,000.00",14.39
Cleanser,2007,61.39,8402163,"$516,000,000.00",6.38
Cleanser,2019,53.52,9932652,"$532,000,000.00",-5.69
Cleanser,2000,84.86,4813099,"$408,000,000.00",14.98
Cleanser,2024,82.68,9070255,"$750,000,000.00",-4.52
Cleanser,2023,19.64,5021171,"$98,601,182.00",6.99
Cleanser,2023,79.47,9711219,"$772,000,000.00",-4.85
Cleanser,2017,43.01,3199458,"$138,000,000.00",15.63
Cleanser,2008,108.79,1781345,"$194,000,000.00",-7.77
Cleanser,2024,59.34,4842506,"$287,000,000.00",19.53
Cleanser,2019,79.77,119732,"$9,551,530.00",-7.08
Cleanser,2014,114.92,6895139,"$792,000,000.00",11.03
Cleanser,2013,70.61,6366179,"$450,000,000.00",16.13
Cleanser,2012,11.88,5655447,"$67,206,863.00",6.46
Cleanser,2003,66.17,4634146,"$307,000,000.00",-1.12
Cleanser,2009,107.29,1546579,"$166,000,000.00",18.97
Cleanser,2012,34.43,8478603,"$292,000,000.00",0.89
Cleanser,2007,80.46,6095336,"$490,000,000.00",0.69
Cleanser,2009,58.17,9448848,"$550,000,000.00",11.13
Cleanser,2009,14.38,7344167,"$106,000,000.00",-3.87
Cleanser,2010,89.99,2846618,"$256,000,000.00",17
Cleanser,2021,80.17,8686300,"$696,000,000.00",2.52
Cleanser,2016,97.45,3942513,"$384,000,000.00",16.22
Cleanser,2023,80.36,1433616,"$115,000,000.00",11.87
Cleanser,2010,25.6,847277,"$21,686,540.00",-7.18
Cleanser,2001,58.7,7026179,"$412,000,000.00",1.21
Cleanser,2000,20.39,9101449,"$186,000,000.00",10.37
Cleanser,2013,26.62,2528400,"$67,315,389.00",-4.28
Cleanser,2020,93.86,3715708,"$349,000,000.00",13.93
Cleanser,2024,99.4,9926873,"$987,000,000.00",7.07
Cleanser,2009,47.26,5355218,"$253,000,000.00",19.4
Cleanser,2018,56.46,8339203,"$471,000,000.00",2.82
Cleanser,2020,111.38,2373183,"$264,000,000.00",9.73
Cleanser,2009,113.01,6201864,"$701,000,000.00",0.53
Cleanser,2010,18.16,1920182,"$34,866,429.00",19.93
Cleanser,2002,72.41,1878074,"$136,000,000.00",6.35
Cleanser,2024,23.96,842057,"$20,177,668.00",-2.96
Cleanser,2022,83.33,5033834,"$419,000,000.00",-0.23
Cleanser,2024,59.92,3293329,"$197,000,000.00",16.16
Cleanser,2009,110.47,2985245,"$330,000,000.00",12.92
Cleanser,2001,11.65,8076412,"$94,070,151.00",9.7
Cleanser,2009,117.45,938888,"$110,000,000.00",-0.43
Cleanser,2006,115.01,1068784,"$123,000,000.00",11.4
Cleanser,2022,78.7,3449037,"$271,000,000.00",-4.17
Cleanser,2006,118.37,8444783,"$1,000,000,000.00",11.03
Cleanser,2023,102.57,1882821,"$193,000,000.00",10.68
Cleanser,2020,44.22,2069919,"$91,523,795.00",3.23
Cleanser,2005,11.41,3556962,"$40,580,889.00",0.09
Cleanser,2018,112.13,5765088,"$646,000,000.00",1.94
Cleanser,2017,67.54,288224,"$19,467,444.00",3.5
Cleanser,2004,85.83,4003464,"$344,000,000.00",9.83
Cleanser,2006,18.23,7879764,"$144,000,000.00",19.81
Cleanser,2021,103.98,5568709,"$579,000,000.00",4.67
Cleanser,2023,45.87,9249458,"$424,000,000.00",14.96
Cleanser,2020,43.51,9338052,"$406,000,000.00",16.17
Cleanser,2003,51.68,9834913,"$508,000,000.00",-6.13
Cleanser,2003,104.62,3219399,"$337,000,000.00",13.36
Cleanser,2015,46.81,4090952,"$191,000,000.00",10.75
Cleanser,2014,93.62,7120107,"$667,000,000.00",0.18
Cleanser,2021,69.28,7783120,"$539,000,000.00",0.79
Cleanser,2015,49.56,4320690,"$214,000,000.00",-3.63
Cleanser,2009,109.36,4549112,"$497,000,000.00",4.25
Cleanser,2014,85.28,5112660,"$436,000,000.00",-5.32
Cleanser,2006,47.32,6278841,"$297,000,000.00",16.73
Cleanser,2003,49.08,1729038,"$84,865,872.00",7.66
Cleanser,2010,14.11,191350,"$2,699,879.00",19.38
Cleanser,2018,17.31,5874268,"$102,000,000.00",13.44
Cleanser,2004,27.96,1816728,"$50,797,347.00",19.19
Cleanser,2016,42.19,8780505,"$370,000,000.00",3.76
Cleanser,2015,115.48,9224466,"$1,070,000,000.00",-4.44
Cleanser,2012,118.22,9697766,"$1,150,000,000.00",7.45
Cleanser,2007,25.91,7001681,"$181,000,000.00",9.2
Cleanser,2000,44.31,3012116,"$133,000,000.00",9.57
Cleanser,2018,50.64,1081003,"$54,740,889.00",-2.88
Cleanser,2016,103.87,6216465,"$646,000,000.00",1.65
Cleanser,2014,77.29,7490121,"$579,000,000.00",7.41
Cleanser,2020,27.75,4776329,"$133,000,000.00",-5.1
Cleanser,2017,84.95,9897045,"$841,000,000.00",-1.51
Cleanser,2012,17.2,1385614,"$23,835,331.00",9.63
Cleanser,2014,35.31,8915600,"$315,000,000.00",4.42
Cleanser,2001,98.88,7742863,"$766,000,000.00",3.29
Cleanser,2016,68.49,4797451,"$329,000,000.00",11.52
Cleanser,2008,30.34,9865446,"$299,000,000.00",0.68
Cleanser,2001,58.93,3453485,"$204,000,000.00",17.72
Cleanser,2008,92.11,5381800,"$496,000,000.00",17.77
Cleanser,2013,34.23,419776,"$14,369,092.00",2.63
Cleanser,2003,30.05,4223832,"$127,000,000.00",6.98
Cleanser,2014,46.28,7704738,"$357,000,000.00",14
Cleanser,2005,89.6,7772404,"$696,000,000.00",-5.58
Cleanser,2024,35.21,8156997,"$287,000,000.00",5.73
Cleanser,2001,42.17,2040662,"$86,060,457.00",11.94
Cleanser,2022,35.58,7712137,"$274,000,000.00",5.77
Cleanser,2010,75.73,9862098,"$747,000,000.00",10.29
Cleanser,2014,93.89,7161677,"$672,000,000.00",-3.36
Cleanser,2008,83.55,6998402,"$585,000,000.00",8.47
Cleanser,2011,48.84,3712102,"$181,000,000.00",7.64
Cleanser,2000,62.68,134192,"$8,411,107.00",19.2
Cleanser,2021,77.54,2965812,"$230,000,000.00",19.66
Cleanser,2002,60.48,6106547,"$369,000,000.00",14.79
Cleanser,2017,71.64,4396191,"$315,000,000.00",14.03
Cleanser,2017,69.11,5839403,"$404,000,000.00",9.1
Cleanser,2006,28.68,5548402,"$159,000,000.00",14.41
Cleanser,2007,91.01,7866611,"$716,000,000.00",5.12
Cleanser,2010,26.48,649559,"$17,199,210.00",14.34
Cleanser,2011,16.2,7831194,"$127,000,000.00",15.9
Cleanser,2006,45.07,2579915,"$116,000,000.00",0.7
Cleanser,2015,73.8,5715618,"$422,000,000.00",3.57
Cleanser,2015,98.88,3050301,"$302,000,000.00",-2.97
Cleanser,2009,78.15,3616021,"$283,000,000.00",9.08
Cleanser,2013,88.8,9828795,"$873,000,000.00",2.34
Cleanser,2001,61.87,1053635,"$65,183,493.00",-6.31
Cleanser,2011,85.32,1441004,"$123,000,000.00",3.25
Cleanser,2002,90.47,3133268,"$283,000,000.00",3.21
Cleanser,2011,114.6,8491844,"$973,000,000.00",16.35
Cleanser,2006,30.43,9196003,"$280,000,000.00",-0.14
Cleanser,2009,104.38,4382243,"$457,000,000.00",-2.02
Cleanser,2024,78.81,491494,"$38,736,336.00",-4.22
Cleanser,2011,83.81,8014083,"$672,000,000.00",11.21
Cleanser,2015,33.68,5756378,"$194,000,000.00",-5.05
Cleanser,2018,119.31,396193,"$47,270,532.00",0.87
Cleanser,2020,89.11,8598821,"$766,000,000.00",2.69
Cleanser,2010,84.29,9316964,"$785,000,000.00",7.71
Cleanser,2003,89.85,8360473,"$751,000,000.00",5.04
Cleanser,2023,56.59,6321859,"$358,000,000.00",16.05
Cleanser,2001,58.21,4358813,"$254,000,000.00",-0.56
Cleanser,2017,83.41,7626080,"$636,000,000.00",15.5
Cleanser,2007,100.15,4185991,"$419,000,000.00",5.09
Cleanser,2005,55.09,7236769,"$399,000,000.00",-1.78
Cleanser,2020,61.44,8247005,"$507,000,000.00",17.96
Cleanser,2001,93.45,2743787,"$256,000,000.00",0.9
Cleanser,2006,55.88,3079929,"$172,000,000.00",-4.57
Cleanser,2019,76.72,5228194,"$401,000,000.00",10.5
Cleanser,2023,13.14,4843134,"$63,651,917.00",-1.08
Cleanser,2024,110.14,2441727,"$269,000,000.00",3.48
Cleanser,2017,37.69,8137623,"$307,000,000.00",1.64
Cleanser,2021,109.43,4017499,"$440,000,000.00",19.07
Cleanser,2021,101.67,3148921,"$320,000,000.00",-0.46
Cleanser,2003,110.66,4214888,"$466,000,000.00",1.93
Cleanser,2006,52.38,7842471,"$411,000,000.00",12.3
Cleanser,2020,75.3,224386,"$16,896,565.00",-1.71
Cleanser,2009,12.71,4682508,"$59,495,438.00",14.78
Cleanser,2020,41.57,539688,"$22,435,597.00",11.51
Cleanser,2023,31,120334,"$3,730,394.00",-0.92
Cleanser,2018,60.54,4405852,"$267,000,000.00",19.15
Cleanser,2020,51.39,9070391,"$466,000,000.00",-2.39
Cleanser,2018,75.43,3978035,"$300,000,000.00",17.25
Cleanser,2001,48.05,8303038,"$399,000,000.00",3.53
Cleanser,2019,76.56,6241519,"$478,000,000.00",2.91
Cleanser,2000,99.01,6945056,"$688,000,000.00",-0.16
Cleanser,2019,75.66,765583,"$57,927,365.00",14.95
Cleanser,2023,41.05,8545275,"$351,000,000.00",4.08
Cleanser,2012,97.41,9440395,"$920,000,000.00",0.01
Cleanser,2002,26.74,5853775,"$157,000,000.00",6.14
Cleanser,2020,110.67,9478711,"$1,050,000,000.00",14.33
Cleanser,2018,24.05,4158871,"$100,000,000.00",-4.12
Cleanser,2004,106.87,4180293,"$447,000,000.00",-2.63
Cleanser,2013,11.04,1545011,"$17,052,421.00",16.2
Cleanser,2007,93.03,6332384,"$589,000,000.00",15.91
Cleanser,2002,16,9367838,"$150,000,000.00",1
Cleanser,2006,75.54,7570978,"$572,000,000.00",3.35
Cleanser,2018,100.28,372239,"$37,327,256.00",-4.83
Cleanser,2022,119.55,3351151,"$401,000,000.00",-3.93
Cleanser,2022,19.12,7318242,"$140,000,000.00",10.97
Cleanser,2017,24.93,9312861,"$232,000,000.00",2.02
Cleanser,2009,89.28,2825154,"$252,000,000.00",17.8
Cleanser,2009,77.91,3159738,"$246,000,000.00",2.72
Cleanser,2015,33.86,4055748,"$137,000,000.00",-2.82
Cleanser,2010,12.66,4843758,"$61,340,592.00",11.15
Cleanser,2015,55.15,2307259,"$127,000,000.00",6.44
Cleanser,2011,48.07,904450,"$43,481,210.00",10.99
Cleanser,2016,63.54,3340993,"$212,000,000.00",18.62
Cleanser,2006,27.3,2801071,"$76,475,946.00",3.37
Cleanser,2009,85.7,6342531,"$544,000,000.00",1.42
Cleanser,2003,27.34,6698429,"$183,000,000.00",2.88
Cleanser,2012,64.63,7027497,"$454,000,000.00",2.45
Cleanser,2019,52.45,8435616,"$442,000,000.00",-6.01
Cleanser,2022,111.13,6005586,"$667,000,000.00",11.05
Cleanser,2009,27.35,5067785,"$139,000,000.00",16.53
Cleanser,2024,58.18,243740,"$14,179,955.00",3.96
Cleanser,2017,109.15,7822773,"$854,000,000.00",-1.13
Cleanser,2004,21.61,4902116,"$106,000,000.00",-3.67
Cleanser,2020,39.39,3652714,"$144,000,000.00",5.75
Cleanser,2010,93.49,4636992,"$434,000,000.00",-4.38
Cleanser,2009,110.81,8711183,"$965,000,000.00",-7.14
Cleanser,2021,112.34,5822600,"$654,000,000.00",19.91
Cleanser,2020,72.54,6833746,"$496,000,000.00",5.2
Cleanser,2018,43.13,1504131,"$64,869,591.00",5.96
Cleanser,2008,87.41,8113043,"$709,000,000.00",-3.19
Cleanser,2019,68.02,5588847,"$380,000,000.00",6.3
Cleanser,2012,110.64,8568409,"$948,000,000.00",18.71
Cleanser,2011,63.94,848687,"$54,265,567.00",8.83
Cleanser,2001,72.26,2795970,"$202,000,000.00",-0.74
Cleanser,2007,112.54,9848760,"$1,110,000,000.00",1.93
Cleanser,2015,13.63,3940722,"$53,728,569.00",14.86
Cleanser,2023,73.04,6108721,"$446,000,000.00",10.97
Cleanser,2002,103.51,3878598,"$401,000,000.00",14.6
Cleanser,2006,78.65,5508732,"$433,000,000.00",-4.39
Cleanser,2011,20.58,4028335,"$82,894,097.00",0.2
Cleanser,2008,100.79,5165512,"$521,000,000.00",3.61
Cleanser,2019,47.79,2300801,"$110,000,000.00",3.67
Cleanser,2011,31.77,740237,"$23,516,378.00",14.68
Cleanser,2022,40.01,3156937,"$126,000,000.00",-5.65
Cleanser,2016,115.84,723227,"$83,777,989.00",-2.25
Cleanser,2007,65.18,3802330,"$248,000,000.00",-7.54
Cleanser,2020,46.06,6834571,"$315,000,000.00",9.32
Cleanser,2001,111.18,8787465,"$977,000,000.00",14.97
Cleanser,2004,11.07,9924985,"$110,000,000.00",-4.39
Cleanser,2010,112.67,8140023,"$917,000,000.00",-6.51
Cleanser,2024,18.06,7319027,"$132,000,000.00",5.16
Cleanser,2021,102.61,6253435,"$642,000,000.00",8.41
Cleanser,2010,87.88,7551994,"$664,000,000.00",15.26
Cleanser,2006,116.94,6342747,"$742,000,000.00",12.9
Cleanser,2000,34.07,5608384,"$191,000,000.00",9.53
Cleanser,2024,80.62,9244606,"$745,000,000.00",15.74
Cleanser,2021,106.29,849865,"$90,331,808.00",9.73
Cleanser,2000,118.81,4883811,"$580,000,000.00",10.38
Cleanser,2001,87.53,224334,"$19,635,207.00",11.75
Cleanser,2002,97.85,238854,"$23,371,680.00",-3.9
Cleanser,2018,38.47,542497,"$20,868,706.00",10.06
Cleanser,2001,46.54,4026712,"$187,000,000.00",10.32
Cleanser,2010,25.77,2935676,"$75,639,798.00",3.92
Cleanser,2020,23.16,4597287,"$106,000,000.00",10.66
Cleanser,2001,114.49,5840186,"$669,000,000.00",-6.32
Cleanser,2024,36.34,8587058,"$312,000,000.00",-2.66
Cleanser,2016,58.95,3296793,"$194,000,000.00",17.99
Cleanser,2002,81.36,9846899,"$801,000,000.00",14.25
Cleanser,2002,17.87,5355089,"$95,692,422.00",-0.39
Cleanser,2019,95.83,5223796,"$501,000,000.00",-3.69
Cleanser,2022,20.69,6232837,"$129,000,000.00",2.08
Cleanser,2001,11.39,9663442,"$110,000,000.00",17.71
Cleanser,2013,80.73,9789115,"$790,000,000.00",1.45
Cleanser,2024,37.39,1953475,"$73,042,637.00",13.7
Cleanser,2011,13.29,6769843,"$89,960,843.00",-2.73
Cleanser,2019,110.16,7886279,"$869,000,000.00",14.59
Cleanser,2016,72.11,1427833,"$103,000,000.00",12.7
Cleanser,2001,10.64,2325899,"$24,736,310.00",0.2
Cleanser,2021,77.74,392012,"$30,475,786.00",13.6
Cleanser,2012,79.19,6098701,"$483,000,000.00",13.55
Cleanser,2002,27.69,7365280,"$204,000,000.00",-0.97
Cleanser,2002,18.85,9584867,"$181,000,000.00",9.97
Cleanser,2009,34.32,1079141,"$37,036,601.00",16.99
Cleanser,2009,55.21,9498631,"$524,000,000.00",10.78
Cleanser,2011,55.23,5304010,"$293,000,000.00",-7.3
Cleanser,2020,66.25,5242326,"$347,000,000.00",4.33
Cleanser,2012,39.35,5432712,"$214,000,000.00",3.91
Cleanser,2004,48.28,264624,"$12,776,930.00",7.23
Cleanser,2003,44.83,1502635,"$67,358,465.00",3.52
Cleanser,2007,33.71,5219664,"$176,000,000.00",1.31
Cleanser,2006,117.93,1558662,"$184,000,000.00",9.71
Cleanser,2000,92.55,8158648,"$755,000,000.00",-2.94
Cleanser,2019,118.26,5669080,"$670,000,000.00",19.41
Cleanser,2011,114.2,6153584,"$703,000,000.00",5.94
Cleanser,2005,67.21,8914876,"$599,000,000.00",6.49
Cleanser,2023,18.71,9339550,"$175,000,000.00",-6.24
Cleanser,2000,115.19,7637568,"$880,000,000.00",8.38
Cleanser,2008,49.65,8996193,"$447,000,000.00",-5.43
Cleanser,2018,71.91,5184828,"$373,000,000.00",2.81
Cleanser,2019,56.77,5410821,"$307,000,000.00",11.42
Cleanser,2023,86.45,9848046,"$851,000,000.00",-3.78
Cleanser,2024,92.88,2960526,"$275,000,000.00",-1.43
Cleanser,2014,106.25,9122566,"$969,000,000.00",-4.35
Cleanser,2018,30.82,9937548,"$306,000,000.00",-7.06
Cleanser,2022,119.15,2281266,"$272,000,000.00",19.26
Cleanser,2001,31.76,7961174,"$253,000,000.00",19.64
Cleanser,2013,15.2,8710034,"$132,000,000.00",5.78
Cleanser,2001,92.94,7140026,"$664,000,000.00",7.19
Cleanser,2014,12.13,6357484,"$77,117,430.00",-2.81
Cleanser,2024,55.58,4383890,"$244,000,000.00",3.39
Cleanser,2021,70.2,7883928,"$553,000,000.00",6.67
Cleanser,2013,56.97,8795109,"$501,000,000.00",19.52
Cleanser,2006,46.26,608631,"$28,157,443.00",6.83
Cleanser,2014,84.7,1448874,"$123,000,000.00",1.93
Cleanser,2020,102.21,1255431,"$128,000,000.00",10.18
Cleanser,2020,44.29,3298598,"$146,000,000.00",11.03
Cleanser,2005,57.82,8039153,"$465,000,000.00",10.69
Cleanser,2010,95.39,7587761,"$724,000,000.00",0.44
Cleanser,2006,28.94,9788598,"$283,000,000.00",7.33
Cleanser,2001,11.19,5173076,"$57,866,070.00",19.27
Cleanser,2018,33.69,7197156,"$242,000,000.00",-5.53
Cleanser,2010,89.09,4726195,"$421,000,000.00",-6.12
Cleanser,2022,93.8,3950247,"$371,000,000.00",6.96
Cleanser,2013,103.42,7298693,"$755,000,000.00",-2.81
Cleanser,2019,91.82,106870,"$9,812,672.00",0.29
Cleanser,2023,43.89,893715,"$39,221,996.00",-0.25
Cleanser,2000,50.58,6576666,"$333,000,000.00",0.06
Cleanser,2003,62.76,3634935,"$228,000,000.00",15.54
Cleanser,2011,96.23,9713357,"$935,000,000.00",11.39
Cleanser,2008,79.49,5283506,"$420,000,000.00",16.69
Cleanser,2017,90.08,8469859,"$763,000,000.00",17.71
Cleanser,2022,85.96,8137304,"$699,000,000.00",8.33
